Player,GP,MIN,FG,3FG,FT,OR,TR,AST,TO,STL,BLK,PF,PTS,Rating,Win %,PD,MVP Votes
Diego Fornaro,0.9090909090909091,33.2,5.4,0.9,2.2,2.6,10.5,2.1,1.6,0.8,1.2,2.9,13.8,16.3,0.545,124.0,0
Auram Ravinski,0.6818181818181818,37.2,5.4,0.8,2.2,0.7,2.3,7.5,1.2,1.1,0.1,2.3,13.8,16.9,0.818,538.0,0
Riley Rojas,0.9545454545454546,26.2,5.7,1.1,1.2,0.5,2.2,2.7,0.9,0.9,0.3,2.5,13.6,14.9,0.545,124.0,0
Mikey Walter,1.0,29.7,5.4,0.6,2.2,0.8,2.8,4.2,0.9,0.7,0.1,1.1,13.5,16.5,0.591,312.0,0
Maurycy ZiÄtal,0.8181818181818182,27.5,5.6,0.3,2.0,2.0,8.3,1.4,1.4,0.5,0.9,2.3,13.5,17,0.727,316.0,0
Moses Main,0.9090909090909091,33.2,5.8,0.2,1.8,1.8,10.0,2.9,1.0,0.6,0.6,1.2,13.4,13.6,0.5,100.0,0
Ed Bellamy,0.9545454545454546,30.0,5.7,0.7,1.2,1.5,7.3,2.4,1.3,0.6,0.3,2.9,13.3,13.8,0.409,27.0,0
Norbert Struszczyk,0.7727272727272727,31.8,5.1,0.7,1.9,1.1,5.3,2.8,0.9,1.0,0.7,2.1,12.9,16,0.727,316.0,0
Diderick Semmelrath,0.6818181818181818,31.6,6.1,0.1,0.6,1.7,6.8,2.4,1.5,1.0,0.5,1.3,12.9,17.2,0.818,538.0,0
MichaÃ«l Croze,0.7272727272727273,27.1,5.2,1.0,1.2,0.6,4.1,1.7,1.1,0.5,0.4,0.8,12.8,14.4,0.409,27.0,0
Al Doyle,0.9090909090909091,25.6,5.2,0.0,2.4,2.8,8.8,0.0,1.2,0.4,0.4,3.0,12.8,15.7,0.5,-83.0,0
Alberto Ipalategui,0.9090909090909091,36.0,5.0,0.4,2.3,1.2,3.8,4.6,1.4,1.0,0.2,3.4,12.8,11.2,0.5,100.0,0
Cornelius Eckert,0.8181818181818182,42.7,10.9,0.1,3.0,4.3,14.2,3.3,1.8,0.6,0.4,1.8,24.8,15.5,0.22699999999999998,-282.0,0
Shawn Bowens,0.8181818181818182,38.6,9.9,0.1,2.4,2.7,12.6,3.9,1.4,0.8,1.1,2.9,22.4,18.4,0.409,-148.0,8
Otto Reedy,0.8636363636363636,37.3,7.9,1.8,3.7,0.7,2.7,4.9,1.2,0.8,0.1,2.8,21.3,17.2,0.591,90.0,0
Gary Acker,0.9090909090909091,35.4,8.6,0.6,2.2,3.2,12.8,3.1,1.2,1.0,0.9,2.0,20.1,17.7,0.591,90.0,137
Arthur Glass,0.9545454545454546,34.2,7.9,1.9,1.7,1.0,3.2,3.4,1.1,0.9,0.1,1.4,19.4,16.6,0.545,168.0,1
Gao Rongli,0.8181818181818182,42.4,8.1,0.1,2.3,4.6,13.9,0.4,2.3,0.4,0.6,2.2,18.7,17.3,0.545,88.0,0
Jan Kujtkowski,0.9545454545454546,38.3,7.7,0.5,2.5,2.5,11.7,3.9,1.8,0.9,0.7,1.4,18.4,14.1,0.591,163.0,37
Kristijan MatijaÅ¡eviÄ,0.7272727272727273,38.9,7.6,0.3,2.8,2.8,11.9,0.1,1.7,0.8,0.7,1.6,18.2,17,0.773,596.0,0
Josh Donovan,0.8181818181818182,39.4,7.1,0.3,3.4,2.2,10.3,2.7,1.7,0.8,1.3,4.1,18.0,14.9,0.409,-148.0,0
Rod Carter,0.7727272727272727,40.4,6.8,1.1,3.2,0.9,3.1,3.6,1.4,1.9,0.0,2.5,17.9,13.9,0.22699999999999998,-282.0,0
Giuliano CupitÃ²,1.0,35.0,7.9,0.1,2.0,1.8,9.0,2.2,1.0,1.2,0.8,2.4,17.9,16.6,0.8640000000000001,475.0,173
Michele Bello,0.8181818181818182,33.2,7.7,0.3,2.1,3.8,13.3,4.1,2.1,0.7,0.8,3.1,17.8,18,0.636,225.0,56
Fausto Cipolli,0.8636363636363636,32.4,7.6,0.2,2.4,2.8,12.0,1.0,1.8,0.5,0.4,1.5,17.7,18.5,0.591,133.0,2
Celerino Magno,0.8636363636363636,38.0,7.1,0.4,3.2,4.3,11.7,0.3,2.3,0.7,0.8,2.4,17.7,17,0.455,162.0,0
Alex Miguel Criollo,0.7727272727272727,34.7,6.9,1.0,2.9,1.4,4.7,1.9,1.5,1.2,0.2,3.9,17.6,15,0.591,90.0,0
Ottorino Montemurro,1.0,37.8,7.6,0.1,2.2,2.8,12.1,0.1,2.6,0.5,1.1,1.9,17.6,16.3,0.273,-103.0,0
Marlon Minor,0.9545454545454546,44.1,7.0,0.3,2.6,1.7,6.3,3.5,1.7,1.3,0.2,2.6,17.0,14,0.22699999999999998,-282.0,0
