Player,GP,MIN,FG,3FG,FT,OR,TR,AST,TO,STL,BLK,PF,PTS,Rating,Win %,PD,MVP Votes
Nikola KurÄubiÄ,0.8636363636363636,38.3,6.2,0.4,2.4,2.2,8.0,4.1,1.1,0.8,0.5,1.7,15.1,16.8,0.591,272.0,0
Yann Viale,1.0,44.3,6.6,0.2,1.2,3.7,12.5,2.3,1.6,0.7,0.5,1.7,14.6,13.2,0.318,-237.0,0
Gabriel Malone,0.8636363636363636,40.5,5.5,1.1,2.3,1.4,4.1,3.7,1.5,0.7,0.3,1.5,14.5,13.3,0.045,-1055.0,0
Gary Acker,0.7272727272727273,33.7,5.9,0.2,2.3,4.4,13.6,2.4,1.1,1.1,0.6,1.4,14.4,17.4,0.364,-481.0,0
Ben Schilling,0.6818181818181818,27.4,5.7,0.1,3.0,2.2,8.5,0.4,1.2,0.5,0.3,1.6,14.4,15.7,0.636,472.0,0
Alberto Ipalategui,1.0,44.0,5.0,0.2,4.1,1.5,4.3,4.4,1.6,1.0,0.1,3.2,14.3,10.4,0.318,-237.0,0
Mitchell Loonie Generoso,0.9090909090909091,31.5,5.6,0.8,2.3,3.0,11.2,2.9,0.8,0.6,0.8,1.4,14.2,15.9,0.773,216.0,17
Reed Purdy,0.8636363636363636,37.4,5.3,1.3,2.1,0.6,2.3,6.1,1.0,0.8,0.8,3.2,14.1,18.2,0.591,272.0,0
Gytis Baleckas,1.0,33.3,5.6,1.0,1.7,1.8,6.5,2.9,1.3,1.3,0.2,0.9,14.0,15.2,0.545,104.0,0
Celerino Magno,0.8636363636363636,35.4,5.3,0.1,3.1,2.8,11.3,0.2,2.6,0.5,1.0,1.9,13.8,16,0.545,104.0,0
Franz Naasner,0.7272727272727273,22.9,5.3,0.2,2.9,2.0,7.2,0.4,1.9,0.4,1.1,1.9,13.8,16.1,0.682,-35.0,0
Artur Taraszka,0.9545454545454546,34.4,5.6,0.6,2.0,2.6,10.3,0.2,1.9,0.4,0.4,2.0,13.7,16.2,0.409,-52.0,0
Bengt Ãer,0.9545454545454546,41.2,5.1,1.4,2.0,0.9,3.0,5.2,1.3,1.2,0.3,1.5,13.6,15.6,0.364,-186.0,0
Drago Padar,1.0,27.7,5.6,0.3,1.5,1.9,6.8,2.0,1.1,0.5,0.8,1.4,13.0,12.8,0.318,-237.0,0
Ilmari Kemppinen,0.9545454545454546,39.1,5.4,0.1,1.9,1.6,6.0,2.4,1.1,0.9,0.5,1.7,12.9,14.3,0.364,-186.0,0
Alfredas Kijajevas,0.9545454545454546,26.6,5.1,1.1,1.6,0.3,1.8,3.3,0.8,1.0,0.1,1.0,12.9,15,0.409,-52.0,0
Vasko Hristov,0.9545454545454546,33.5,5.5,0.3,1.3,1.2,4.8,1.0,1.5,1.4,0.7,1.7,12.6,15.9,0.682,522.0,0
Lyndon Clevenger,0.8636363636363636,37.1,5.4,0.2,1.6,3.8,13.5,1.4,2.5,0.4,0.9,2.1,12.6,17.2,0.409,-17.0,0
Kirilas Å cegauskas,0.8636363636363636,30.8,4.6,0.7,2.5,1.2,5.2,4.3,0.9,0.8,0.3,2.6,12.5,14.9,0.773,458.0,0
Karlos AndÃ³n,0.8636363636363636,37.3,4.7,0.6,2.4,1.1,4.5,5.3,1.2,0.9,0.3,1.4,12.4,16.2,0.455,-57.0,0
Bill Isom,1.0,27.8,5.2,0.2,1.7,1.0,3.6,2.6,1.2,0.5,0.5,1.0,12.4,14.3,0.727,328.0,0
Johnny Kearney,0.9545454545454546,28.5,5.1,0.3,1.6,1.0,4.7,2.8,1.3,1.3,0.3,0.7,12.2,13.6,0.727,328.0,0
Terry Irby,0.7727272727272727,34.6,4.9,0.2,2.2,1.3,4.0,3.7,2.0,0.8,0.3,1.4,12.2,9.9,0.682,-35.0,0
Chua Qu Bing,1.0,25.7,4.5,0.1,3.0,1.0,5.4,1.4,0.8,0.4,0.2,2.7,12.2,15.3,0.636,472.0,0
Sherwood Crisp,1.0,28.2,4.8,0.1,2.4,2.5,9.8,1.8,1.7,0.4,0.9,3.2,12.1,16,0.545,104.0,0
Walter Carrillo,0.9090909090909091,32.5,5.2,0.2,1.3,3.3,11.4,1.0,1.3,0.2,0.8,1.4,12.0,15.4,0.045,-1055.0,0
Thomas Hinson,0.8181818181818182,30.9,5.1,0.3,1.5,3.7,12.2,0.3,1.4,0.3,1.1,3.2,12.0,16.2,0.591,272.0,0
Riley Rojas,1.0,26.0,4.4,1.3,1.9,0.6,2.3,2.6,0.9,0.8,0.6,2.3,11.9,15.8,0.682,522.0,0
Andrea Pintore,0.9545454545454546,28.9,4.7,0.4,2.1,2.0,9.3,1.6,1.2,0.4,2.2,3.3,11.9,18.1,0.773,458.0,37
Lee Atkins,0.9090909090909091,36.2,4.8,0.6,1.4,1.0,4.0,4.2,1.1,0.9,0.2,1.0,11.6,14.4,0.409,-17.0,0
Chung Hee Jun,1.0,35.6,4.0,0.2,3.5,0.6,4.0,3.2,1.0,1.1,0.4,2.4,11.6,14.5,0.636,472.0,0
Lorenzo Wuidar,0.7727272727272727,45.8,12.2,0.6,5.0,3.6,16.1,4.6,1.5,1.0,1.5,2.7,29.9,17.1,0.727,547.0,152
Franck Gillet,0.6818181818181818,36.5,9.3,1.9,2.1,0.8,2.8,4.3,0.8,1.6,0.2,1.1,22.6,16.2,0.545,112.0,0
Gerhard Echave,0.9090909090909091,38.6,9.0,0.2,2.6,2.2,11.8,4.8,0.9,1.8,1.6,1.7,20.8,16.1,0.818,1207.0,105
Gary Acker,0.7272727272727273,32.6,8.5,0.6,2.6,2.9,11.0,3.3,1.0,1.3,0.6,1.8,20.1,16.5,0.5,-151.0,0
Gelindo Sapienza,0.7272727272727273,41.6,8.4,1.1,2.2,1.5,4.5,4.8,1.9,1.2,0.1,1.9,20.1,13.8,0.182,-768.0,0
Patrik Ekenell,0.7727272727272727,32.9,8.2,1.4,1.8,0.9,4.7,1.8,1.0,1.0,0.8,1.4,19.6,14,0.318,199.0,0
Sol Fisher,0.9545454545454546,30.2,8.4,0.9,1.8,1.6,5.4,0.9,1.3,0.7,0.8,2.8,19.4,11.4,0.318,199.0,0
Ty Tracy,1.0,37.1,7.0,1.5,3.0,1.0,2.5,5.1,1.3,1.8,0.2,3.2,18.5,16.5,0.8640000000000001,811.0,2
Bill Isom,0.6818181818181818,32.3,7.3,1.0,2.6,1.1,4.4,2.6,1.0,0.7,0.7,1.3,18.3,14.8,0.8640000000000001,768.0,0
Piotr Gorzel,0.8181818181818182,30.0,7.3,0.3,2.8,1.7,10.1,4.7,0.8,1.0,1.4,3.3,17.6,17.9,0.8640000000000001,768.0,17
Vinicio Soto,0.7272727272727273,34.2,7.2,0.5,2.5,3.4,14.7,4.2,1.0,0.6,0.9,3.0,17.5,16.6,0.5,-151.0,0
Fabien Rebai,0.7727272727272727,41.3,6.6,0.2,3.8,2.5,8.0,4.2,1.2,1.3,1.1,2.8,17.3,14,0.727,547.0,0
Lyndon Clevenger,0.7272727272727273,34.9,7.0,0.4,2.6,3.8,12.9,1.4,1.2,0.6,1.0,1.7,17.1,17.5,0.591,610.0,0
Joseph Hamel,0.7727272727272727,34.1,7.8,0.2,1.1,2.6,10.2,1.6,1.8,0.8,1.5,2.2,16.9,14.8,0.5,106.0,0
Evgeny Bortnikov,0.9545454545454546,34.4,7.0,0.7,2.2,0.9,5.5,2.3,1.3,1.1,0.4,1.4,16.9,15.1,0.545,476.0,0
Maurycy ZiÄtal,0.9090909090909091,33.2,6.9,0.2,2.9,2.8,12.8,2.6,1.2,1.0,2.1,2.7,16.8,18.2,0.818,1207.0,43
Otto Reedy,0.7272727272727273,33.7,5.8,1.6,3.2,0.8,2.5,4.9,1.6,1.5,0.2,2.2,16.4,17.5,0.5,-151.0,0
Shawn Bowens,0.6818181818181818,33.1,7.1,0.1,1.9,2.7,13.4,6.1,0.7,1.5,1.6,2.3,16.1,19.6,0.8640000000000001,768.0,11
Mitchell Loonie Generoso,1.0,34.9,7.0,0.3,1.8,3.1,11.6,3.4,0.9,1.0,0.9,2.0,16.0,16.4,0.8640000000000001,811.0,28
Rafael PequeÃ±o,1.0,34.1,6.9,0.3,1.7,3.2,12.3,4.7,1.1,1.4,1.3,3.0,15.9,18.2,0.8640000000000001,811.0,150
Lenart GorÅ¡e,0.9545454545454546,24.1,6.1,0.5,3.0,2.0,8.5,0.3,1.4,0.4,0.4,2.0,15.7,16.6,0.8640000000000001,811.0,0
Fausto Cipolli,0.8181818181818182,34.5,6.3,0.3,2.8,3.1,13.3,1.5,1.3,0.8,0.7,1.5,15.6,16.3,0.455,264.0,0
Carlos Barney,0.9090909090909091,30.9,6.2,1.0,2.1,0.6,3.6,3.7,1.2,0.6,0.6,1.8,15.4,13.9,0.591,610.0,0
Jair RodrÃ­guez,0.7272727272727273,30.9,6.8,0.4,1.2,2.9,12.7,1.5,1.2,0.9,0.8,2.0,15.2,16.6,0.545,112.0,0
Fredrick Gomez,0.9545454545454546,35.0,6.5,0.2,2.0,4.2,15.3,2.7,1.7,0.4,1.7,2.4,15.2,17,0.591,610.0,4
Efelau Retuerta,1.0,29.9,6.5,0.3,1.8,1.9,6.9,3.8,1.0,1.0,0.6,2.7,15.1,15.3,0.818,1207.0,0
Tanner Winn,0.6818181818181818,45.5,6.1,0.9,2.0,4.0,11.5,2.6,3.1,1.1,0.8,1.7,15.1,8.4,0.136,-1385.0,0
Wahyudi Wibisono,1.0,36.7,6.3,1.1,1.4,0.4,2.5,6.0,1.2,1.1,0.9,3.5,15.0,16.5,0.8640000000000001,811.0,0
Mikey Walter,0.7727272727272727,33.2,6.1,0.8,1.9,0.9,3.3,4.2,1.2,1.2,0.2,1.2,15.0,13.6,0.5,-151.0,0
Nino Katsios,0.8181818181818182,33.2,6.0,0.2,2.7,2.0,10.2,2.4,1.6,0.9,0.9,2.7,14.8,14.7,0.545,476.0,0
Norbert Struszczyk,0.9090909090909091,29.4,6.0,0.6,2.2,0.8,5.7,2.4,1.0,1.2,0.7,2.5,14.8,16.3,0.818,1207.0,0
Artur Taraszka,0.9545454545454546,30.6,6.5,0.3,1.3,2.4,11.0,0.4,1.7,0.6,1.0,1.3,14.7,16,0.545,476.0,0
Jezdimir AleksandroviÄ,0.8181818181818182,35.3,6.2,1.0,1.3,1.3,4.4,2.9,1.5,1.1,0.4,1.3,14.6,14,0.455,264.0,0
Colby Sanchez,0.9545454545454546,36.0,5.9,0.5,2.0,1.3,3.8,3.6,1.9,1.0,0.6,1.8,14.3,14.4,0.591,610.0,0
Nemesio Xermade,0.9090909090909091,34.0,5.7,0.2,2.5,1.0,5.4,4.6,1.4,1.0,0.4,1.8,14.0,14.6,0.909,831.0,0
ElÃ­as Gastia,0.8181818181818182,27.9,5.1,1.7,1.9,0.4,2.4,2.6,1.1,0.4,0.3,0.9,13.7,15,0.455,264.0,0
Riley Rojas,0.7272727272727273,26.0,5.4,1.8,1.1,0.8,2.6,4.2,0.6,1.1,0.4,2.6,13.7,16.1,0.545,112.0,0
Gytis Baleckas,0.6818181818181818,29.9,6.0,0.5,1.2,0.9,5.9,3.6,0.9,0.7,0.5,0.9,13.7,14.9,0.5,106.0,0
Lee Atkins,0.9090909090909091,36.2,5.1,0.6,2.8,1.4,4.3,5.1,0.8,1.6,0.3,1.2,13.6,14.8,0.591,610.0,0
Faruk PajiÄ,0.9090909090909091,30.1,5.4,1.0,1.8,0.9,3.8,4.1,0.5,1.4,0.5,2.7,13.6,16.1,0.8640000000000001,811.0,0
Olavo Silva Lobo,0.8181818181818182,34.0,5.8,0.1,1.8,2.8,12.4,2.8,1.1,0.6,1.2,1.4,13.4,16.8,0.455,264.0,0
Kosmas Miliokas,0.7727272727272727,35.3,5.2,0.4,2.5,0.5,2.6,5.2,0.8,1.3,0.5,0.9,13.2,14.2,0.727,547.0,0
Terry Irby,0.7727272727272727,29.3,5.1,0.1,2.5,0.9,3.9,2.4,1.0,1.4,0.6,1.2,12.9,11,0.909,831.0,0
Giuseppe Mapelli,0.9545454545454546,29.5,5.4,0.6,1.5,0.7,4.7,3.6,1.0,0.9,0.8,1.5,12.8,15.5,0.818,1207.0,0
Alfredas Kijajevas,0.9545454545454546,34.2,5.1,1.2,1.1,0.6,2.3,5.9,1.3,1.0,0.4,1.2,12.6,14.6,0.545,476.0,0
James Monk,0.6818181818181818,34.2,5.3,1.2,0.8,1.3,3.9,2.7,2.2,1.1,0.1,1.3,12.5,8.7,0.0,-1923.0,0
Mikey Parent,1.0,32.3,5.2,0.6,1.2,1.2,6.4,3.4,1.1,1.0,0.3,2.4,12.3,16,0.8640000000000001,811.0,0
Igor Dumin,0.7727272727272727,26.9,4.8,0.6,1.9,0.5,3.0,3.8,0.9,1.1,0.5,1.1,12.1,14.3,0.5,106.0,0
Kris Hunt,0.6818181818181818,29.7,5.1,0.1,1.7,1.2,4.9,4.0,1.2,1.0,0.9,0.9,12.0,16.5,0.8640000000000001,768.0,0
Zhou Kwok Wing,0.9090909090909091,31.7,4.5,0.3,2.7,1.2,5.2,4.1,1.0,1.2,0.4,2.2,12.0,14.6,0.591,610.0,0
Lorenzo Wuidar,0.8636363636363636,44.0,9.9,0.6,3.2,3.6,12.5,3.9,1.8,1.2,1.1,3.6,23.7,15.8,0.455,184.0,52
Cornelius Eckert,0.7272727272727273,31.5,10.3,0.6,2.1,3.9,13.9,1.8,1.1,0.8,0.4,0.8,23.4,19,0.636,283.0,22
Dimitar Tashkov,0.9545454545454546,37.9,8.2,0.2,3.3,4.6,14.1,2.0,1.6,0.5,1.6,2.8,20.0,17.4,0.727,629.0,174
Liang Wenlin,0.7727272727272727,35.3,8.2,0.6,2.9,1.3,6.2,2.5,0.7,0.6,0.4,1.0,19.9,18,0.409,13.0,0
Gary Acker,0.7727272727272727,38.1,8.0,0.5,3.1,3.8,13.9,2.2,1.6,1.4,0.8,2.2,19.6,16.3,0.273,-556.0,0
Shawn Bowens,0.7272727272727273,34.7,8.2,0.1,2.8,3.7,14.9,5.2,1.1,0.8,1.1,1.2,19.2,19.5,0.909,798.0,139
Otto Reedy,0.9090909090909091,30.8,6.8,2.0,3.8,0.6,1.7,4.3,0.8,1.2,0.1,1.8,19.2,18.1,0.682,-95.0,3
Grigoris Vassilakos,0.8636363636363636,39.1,8.6,0.9,0.9,1.5,4.8,2.6,1.2,1.2,0.5,1.8,19.1,15.7,0.545,-38.0,0
Nino Katsios,0.9545454545454546,36.4,7.0,0.4,4.2,3.0,11.2,2.4,1.6,0.6,0.6,2.6,18.7,15.8,0.5,85.0,0
Riley Rojas,0.8181818181818182,38.7,6.8,1.9,2.9,0.8,2.9,2.9,1.3,1.2,0.3,3.0,18.4,15.1,0.364,-385.0,0
Chen Daocheng,0.7727272727272727,34.7,7.7,0.2,2.3,2.3,9.5,3.9,1.3,0.6,0.4,4.0,17.9,15,0.409,13.0,0
Gerhard Echave,0.9090909090909091,32.5,7.8,0.5,1.4,1.6,7.8,4.3,0.6,0.9,0.8,2.0,17.4,16,0.773,664.0,9
Miguel RodrÃ­guez,0.7727272727272727,32.3,7.2,0.1,2.5,0.9,5.8,1.7,0.9,0.8,0.3,3.7,17.0,14.8,0.409,13.0,0
XuliÃ¡n Viego,0.6818181818181818,38.4,7.0,1.1,1.9,0.9,3.9,3.4,1.2,1.2,0.6,2.7,17.0,15.3,0.545,-38.0,0
Philip Hunter,0.8636363636363636,40.8,7.0,0.7,2.2,0.7,2.6,5.8,1.7,0.8,0.1,2.4,16.9,16.3,0.455,184.0,0
Aubrey Bliss,0.9545454545454546,33.2,7.3,0.6,1.6,3.7,11.0,2.4,0.9,0.3,0.4,2.0,16.9,13.8,0.409,-26.0,0
Sol Fisher,1.0,29.0,6.8,0.6,2.5,1.1,5.0,1.0,1.2,0.9,0.3,2.7,16.8,11.8,0.545,254.0,0
Evgeny Bortnikov,0.9545454545454546,33.4,7.0,0.9,1.8,1.1,4.9,2.5,1.0,1.4,0.3,1.5,16.7,16,0.5,85.0,0
Arthur Glass,0.7272727272727273,32.9,6.3,2.0,2.1,0.7,2.6,2.7,0.9,1.1,0.1,1.4,16.7,16.5,0.364,-385.0,0
Rex Schmitz,0.9545454545454546,35.3,7.2,0.5,1.6,3.0,10.2,2.9,1.5,0.6,0.7,1.9,16.5,15.1,0.409,-26.0,0
Artur Butenin,0.6818181818181818,36.7,6.7,0.0,2.9,4.9,15.0,2.3,1.9,0.3,1.2,3.8,16.3,17.3,0.273,-556.0,0
Arturo Del Arroyo,0.8181818181818182,39.1,6.9,0.1,2.4,3.6,13.9,0.4,2.2,0.1,1.4,2.8,16.3,17.6,0.545,-38.0,0
You Zuxiong,1.0,33.4,7.3,0.4,1.3,1.5,5.5,3.1,1.0,1.2,0.3,0.9,16.2,15.8,0.545,254.0,0
Blert Kurtishi,0.8636363636363636,36.8,6.8,0.1,2.3,3.5,13.7,0.0,1.3,0.5,0.9,2.8,16.0,17.8,0.455,184.0,0
Vsevolod Tverskiy,0.9090909090909091,35.3,5.6,1.2,3.5,0.3,1.8,4.8,0.9,1.0,0.1,3.0,16.0,17.2,0.545,254.0,0
Sherwood Crisp,0.9090909090909091,30.1,6.8,0.2,1.7,3.4,11.4,1.6,1.8,0.4,0.4,2.4,15.6,16.7,0.455,178.0,0
Tao Rongting,0.8636363636363636,37.0,6.1,0.9,2.5,0.8,2.9,4.3,0.9,1.5,0.1,2.5,15.5,15.8,0.545,-38.0,0
Angelo Oudin,0.9545454545454546,33.7,6.7,0.3,1.8,1.8,5.8,5.5,1.1,1.1,0.3,1.5,15.4,14.4,0.727,629.0,14
Kris Hunt,0.8181818181818182,31.9,6.6,0.1,1.9,1.7,7.0,4.3,1.2,1.3,0.9,1.6,15.3,18.4,0.909,798.0,22
Nicolas Schmitt,0.9545454545454546,30.3,6.4,0.1,2.4,2.5,9.7,1.4,1.1,0.4,0.6,3.7,15.2,15.2,0.545,254.0,0
Michele Bello,0.8181818181818182,29.3,6.8,0.0,1.7,2.6,12.8,3.2,1.1,0.4,1.4,2.2,15.2,18,0.909,798.0,71
Jair RodrÃ­guez,0.8636363636363636,34.2,5.9,0.3,3.1,2.7,10.9,1.8,1.2,0.3,0.3,2.2,15.2,16.3,0.364,-385.0,0
Eli Yazzie,0.7727272727272727,26.9,5.9,1.6,1.6,1.2,3.8,2.5,1.1,1.0,0.7,0.9,15.2,15.3,0.682,-95.0,0
Artur Taraszka,0.8636363636363636,30.2,6.7,0.3,1.4,2.6,10.0,0.3,1.6,0.6,0.9,1.2,15.2,15.9,0.5,85.0,0
Jezdimir AleksandroviÄ,0.9545454545454546,34.7,6.4,1.0,1.2,1.3,3.6,3.5,1.2,0.7,0.6,1.2,15.0,14.7,0.318,-142.0,0
Fredrick Gomez,0.8636363636363636,31.5,5.9,0.3,2.8,2.5,10.6,2.1,1.9,0.4,0.8,1.4,14.9,17.5,0.636,283.0,0
Efelau Retuerta,0.9090909090909091,31.5,6.0,0.2,2.7,1.4,5.8,3.3,1.2,0.8,0.8,2.9,14.8,16.4,0.773,664.0,2
Gytis Baleckas,0.9545454545454546,35.4,6.1,0.6,1.9,1.9,6.9,2.9,1.3,1.1,0.0,1.8,14.8,14.5,0.455,178.0,0
Lee Bass,0.8636363636363636,29.9,6.4,0.2,1.7,2.7,9.5,2.4,1.0,0.7,0.7,3.7,14.6,15.6,0.545,-38.0,0
Bill Isom,0.9090909090909091,30.2,5.8,0.6,2.4,1.0,3.8,3.0,1.6,1.2,0.8,1.0,14.4,14.9,0.909,798.0,0
Joseph Hamel,0.9545454545454546,36.7,5.7,0.2,2.9,2.3,9.0,1.5,1.8,0.4,1.0,1.9,14.4,13.7,0.455,178.0,0
Fabien Rebai,0.7727272727272727,38.4,5.2,0.4,3.6,2.0,7.6,3.1,1.3,1.1,0.6,3.9,14.4,13.5,0.455,184.0,0
Johan Trubel,1.0,19.0,6.0,0.3,1.7,0.3,2.3,1.0,0.7,0.5,0.6,1.1,14.1,14.1,0.409,13.0,0
Larry Dunham,0.9545454545454546,33.5,5.7,0.3,2.3,1.7,5.6,2.2,1.3,0.9,0.3,1.6,14.0,15.5,0.409,-26.0,0
Hamed El Hadden,0.9090909090909091,26.6,5.4,0.4,2.2,1.8,6.7,3.0,1.1,0.4,0.2,2.6,13.4,15.1,0.545,-38.0,0
Steve Castaneda,0.7727272727272727,32.7,5.2,0.8,1.7,2.9,11.0,1.9,1.1,0.9,1.0,2.1,13.0,15.6,0.682,-95.0,0
ElÃ­as Gastia,1.0,21.1,5.2,1.0,1.3,0.8,2.2,1.5,1.4,0.5,0.0,0.6,12.7,15.3,0.318,-142.0,0
Kirilas Å cegauskas,0.8636363636363636,33.4,4.8,0.3,2.7,1.1,5.0,4.4,1.1,1.2,0.7,2.7,12.6,14.2,0.773,664.0,0
Piotr Gorzel,0.8181818181818182,24.7,5.1,0.3,2.1,1.6,8.2,3.9,0.8,0.4,0.8,2.0,12.5,16.9,0.909,798.0,0
Terry Irby,1.0,29.1,5.1,0.3,1.6,0.5,3.1,2.7,1.2,0.7,0.4,0.7,12.2,11.7,0.727,629.0,0
Marlon Minor,0.8636363636363636,37.9,11.9,1.5,2.7,1.4,5.3,1.9,1.1,0.8,0.1,2.5,28.0,14.8,0.409,33.0,0
Arthur Glass,0.8181818181818182,33.7,8.3,2.2,1.5,0.7,2.1,2.8,0.9,1.3,0.3,1.2,20.3,17.8,0.682,381.0,0
Cornelius Eckert,0.9090909090909091,31.0,8.3,0.4,2.4,3.8,12.2,2.0,1.2,0.6,1.0,1.1,19.4,18.3,0.818,540.0,77
Krasimir Rusetzki,0.9545454545454546,34.7,7.4,1.0,3.5,0.8,3.6,2.9,1.1,0.9,0.6,1.6,19.4,16.5,0.8640000000000001,812.0,1
Evgeny Bortnikov,0.9545454545454546,36.0,7.8,0.8,2.6,1.3,5.6,2.4,1.8,1.5,0.3,1.4,18.9,16.5,0.636,484.0,0
Shawn Bowens,0.6818181818181818,37.6,7.9,0.0,2.3,2.9,13.6,3.9,1.3,1.1,1.2,1.9,18.1,18,0.5,-244.0,0
Zack Tucker,0.6818181818181818,38.7,7.7,0.6,2.2,1.0,3.0,3.7,0.9,0.9,0.1,2.0,18.1,16.3,0.5,-244.0,0
Efelau Retuerta,1.0,32.2,7.5,0.3,2.5,1.3,7.0,3.0,1.0,1.0,1.0,3.1,17.7,17.5,0.8640000000000001,812.0,166
Gidi Tarsi,0.8636363636363636,35.1,7.6,0.1,2.5,2.8,12.4,0.3,1.7,1.1,1.3,1.8,17.7,18.9,0.818,659.0,0
Nino Katsios,1.0,34.4,7.1,0.0,3.1,2.8,12.5,2.7,1.5,1.1,0.6,2.5,17.4,16.8,0.636,484.0,38
Sol Fisher,0.8636363636363636,34.4,7.1,0.8,2.4,1.4,4.8,2.2,1.5,0.6,0.2,2.5,17.3,13.5,0.409,33.0,0
You Zuxiong,0.7727272727272727,37.5,7.6,0.4,1.5,1.8,5.6,3.4,1.1,0.9,0.4,1.3,17.2,15.4,0.409,33.0,0
Sherwood Crisp,0.8636363636363636,36.5,6.4,0.4,4.1,3.2,13.1,1.6,1.2,0.9,0.8,2.8,17.2,16.2,0.545,100.0,0
Blert Kurtishi,0.7272727272727273,37.1,7.0,0.1,3.1,3.1,12.8,0.0,0.9,0.3,0.8,2.9,17.1,17.4,0.5,309.0,0
Riley Rojas,0.8636363636363636,31.1,6.3,1.8,2.6,1.1,3.4,2.4,1.1,1.4,0.6,2.6,17.0,15.3,0.682,381.0,0
Dimitar Tashkov,0.9545454545454546,33.2,6.9,0.1,2.7,3.0,12.6,1.7,1.3,0.6,0.8,2.5,16.5,17.6,0.818,659.0,0
Otomars Diglis,0.8181818181818182,32.8,6.6,0.5,2.8,0.6,2.6,3.9,1.1,1.1,0.4,2.0,16.5,16.3,0.818,540.0,0
Lorenzo Wuidar,0.6818181818181818,36.6,6.1,0.2,3.9,2.3,7.9,3.7,1.3,0.4,1.5,3.3,16.4,15.3,0.5,309.0,0
Jaroslav Straka,0.7272727272727273,32.3,6.6,1.9,1.1,0.9,3.6,3.1,1.0,0.9,0.2,3.2,16.1,12.1,0.682,381.0,0
KazimieÅ¾as Cernys,0.9545454545454546,32.0,6.5,0.1,2.9,2.7,11.2,1.8,2.0,0.6,1.0,4.0,16.1,16.6,0.318,-211.0,0
Dai Dejie,0.8636363636363636,36.1,6.3,0.7,2.7,2.1,6.5,2.5,1.1,0.8,0.4,1.2,16.0,15.5,0.318,-211.0,0
Cai Yong,1.0,30.2,6.7,0.1,2.4,2.3,10.4,3.3,1.1,0.5,0.6,1.6,16.0,16.2,0.818,659.0,0
Francesco Bernocchi,0.8636363636363636,31.1,6.2,0.1,3.3,2.9,9.5,0.1,1.8,0.3,0.9,2.2,15.7,16.1,0.318,-211.0,0
Hamed El Hadden,0.8181818181818182,31.2,6.4,0.6,2.2,1.3,5.1,3.8,0.8,0.6,0.3,1.7,15.7,15.2,0.545,-415.0,0
Cleveland Meert,0.9090909090909091,34.8,6.0,0.5,3.2,2.0,8.0,1.7,1.6,0.8,1.8,2.4,15.6,14.6,0.273,37.0,0
Fredrick Gomez,0.9090909090909091,29.8,6.2,0.4,2.8,3.2,11.2,1.6,1.4,0.6,1.6,1.4,15.6,18.1,0.818,540.0,3
Joseph Hamel,0.9090909090909091,37.3,5.9,0.3,3.5,3.0,10.1,1.0,2.0,0.5,1.0,2.2,15.6,14.2,0.545,100.0,0
Daniel CarniÃ§a,0.7272727272727273,32.3,6.5,0.4,2.1,1.8,6.0,2.8,1.4,0.9,0.4,1.0,15.6,12.6,0.318,189.0,0
Tao Rongting,0.7272727272727273,27.8,6.2,1.1,1.8,0.7,2.5,2.2,0.9,0.8,0.1,2.2,15.4,16.3,0.545,-415.0,0
Angelo Oudin,1.0,34.9,6.1,0.3,2.4,1.5,6.1,6.5,1.3,0.9,0.1,2.0,14.9,16,0.818,659.0,66
Jonathan Battle,0.8636363636363636,33.6,5.6,1.1,2.3,0.9,3.1,3.5,1.0,1.1,0.3,2.3,14.7,15.1,0.545,100.0,0
Jair RodrÃ­guez,0.8636363636363636,29.8,5.4,0.6,2.6,2.5,10.3,1.8,0.7,1.1,0.3,2.1,14.1,16.6,0.682,381.0,0
Larry Dunham,0.8636363636363636,31.8,5.6,0.3,2.5,1.9,6.9,1.9,1.0,0.9,0.3,1.5,14.0,15.8,0.5,306.0,0
Akram Al-Hana,0.8181818181818182,31.7,5.2,0.9,2.5,0.7,3.0,5.9,0.5,1.0,0.2,1.9,13.7,17.6,0.545,-415.0,0
Alfredas Kijajevas,0.9545454545454546,35.8,5.2,0.8,2.5,0.4,2.0,6.1,1.2,1.2,0.4,1.0,13.7,14.9,0.636,484.0,0
Gerhard Echave,0.9090909090909091,31.2,5.5,0.2,2.4,1.8,6.4,4.6,0.8,1.2,0.8,1.6,13.6,16,0.8640000000000001,812.0,1
Zhou Kwok Wing,0.8181818181818182,35.5,5.4,0.3,2.4,1.1,5.0,4.7,1.4,1.2,0.8,2.7,13.6,16.1,0.818,540.0,0
Alekss Dzilums,0.9090909090909091,33.9,5.4,0.4,2.4,3.8,12.6,1.6,2.0,0.6,1.6,2.8,13.4,17.8,0.273,37.0,0
Aubrey Bliss,0.9545454545454546,29.3,5.7,0.2,1.7,2.9,9.8,2.8,0.6,1.1,0.7,1.0,13.3,15.8,0.5,306.0,0
Su Cunhai,0.9545454545454546,35.7,5.3,0.5,2.1,0.7,3.2,2.2,1.4,1.0,0.4,2.6,13.2,12.1,0.318,189.0,0
Rex Schmitz,0.9545454545454546,29.2,6.0,0.3,0.9,2.7,9.3,2.2,1.0,0.9,0.9,1.7,13.1,15.4,0.5,306.0,0
Lee Bass,0.7727272727272727,29.6,5.2,0.4,2.4,2.5,8.6,2.3,0.7,0.7,0.6,3.4,13.1,15.4,0.545,-415.0,0
